Luas Tanah (m²),Luas Bangunan (m²),Kamar Tidur,Kamar Mandi,Daerah_Balikpapan Barat,Daerah_Balikpapan Kota,Daerah_Balikpapan Selatan,Daerah_Balikpapan Tengah,Daerah_Balikpapan Timur,Daerah_Balikpapan Utara,Harga (IDR)
162,90,3,3,0,0,1,0,0,0,800000000.0
340,200,4,3,0,0,1,0,0,0,2500000000.0
200,200,5,4,0,0,1,0,0,0,2200000000.0
135,135,3,2,0,0,1,0,0,0,2500000000.0
204,142,3,2,0,0,1,0,0,0,1850000000.0
320,180,4,3,0,0,0,0,0,1,1500000000.0
294,250,5,4,0,0,0,1,0,0,1400000000.0
300,150,4,4,0,0,0,1,0,0,800000000.0
153,258,4,4,0,0,1,0,0,0,1400000000.0
96,176,4,4,0,0,0,0,0,1,450000000.0
145,275,2,1,0,0,1,0,0,0,930000000.0
170,320,9,9,0,0,0,0,0,1,2000000000.0
130,280,3,3,0,0,0,1,0,0,850000000.0
238,250,3,1,0,1,0,0,0,0,2800000000.0
135,226,3,2,0,0,1,0,0,0,1650000000.0
72,142,3,2,0,0,0,0,0,1,1250000000.0
78,135,3,3,0,0,0,0,0,1,950000000.0
90,90,2,1,0,0,1,0,0,0,700000000.0
60,60,2,2,0,0,1,0,0,0,1300000000.0
150,150,4,2,0,0,0,0,0,1,1350000000.0
150,222,7,7,0,0,0,0,0,1,870000000.0
294,294,3,2,0,0,0,0,0,1,2300000000.0
135,170,4,4,0,0,1,0,0,0,2350000000.0
135,170,3,3,0,0,1,0,0,0,2350000000.0
213,180,3,2,0,0,0,1,0,0,850000000.0
105,210,3,2,0,0,1,0,0,0,2500000000.0
204,142,3,2,0,0,1,0,0,0,2000000000.0
160,100,3,1,0,0,1,0,0,0,850000000.0
150,234,6,4,0,0,1,0,0,0,2500000000.0
140,190,3,3,0,0,1,0,0,0,1850000000.0
78,80,2,2,0,0,1,0,0,0,1400000000.0
240,320,4,2,0,0,1,0,0,0,3500000000.0
175,250,4,2,0,0,1,0,0,0,1650000000.0
160,177,2,1,0,1,0,0,0,0,900000000.0
152,150,4,3,0,0,1,0,0,0,1550000000.0
72,36,2,1,0,0,0,0,0,1,277000000.0
220,120,4,3,0,0,1,0,0,0,2600000000.0
135,145,3,3,0,0,0,0,1,0,1700000000.0
180,140,5,3,0,0,1,0,0,0,1100000000.0
90,45,2,1,0,0,1,0,0,0,690000000.0
90,45,2,1,0,0,0,0,1,0,690000000.0
128,117,3,3,0,0,1,0,0,0,2100000000.0
200,65,2,1,1,0,0,0,0,0,695000000.0
149,100,4,2,0,1,0,0,0,0,700000000.0
271,90,2,1,0,0,0,0,0,1,1350000000.0
200,75,3,2,0,0,1,0,0,0,1200000000.0
122,70,2,1,0,1,0,0,0,0,380000000.0
150,102,3,2,0,0,1,0,0,0,1100000000.0
120,140,5,3,0,0,1,0,0,0,780000000.0
315,210,4,4,0,0,1,0,0,0,2500000000.0
96,60,2,1,0,0,1,0,0,0,950000000.0
81,81,3,1,0,0,1,0,0,0,650000000.0
225,185,5,4,0,0,0,0,0,1,3200000000.0
78,47,2,2,0,0,1,0,0,0,950000000.0
325,300,3,3,0,0,1,0,0,0,4250000000.0
104,52,2,1,0,0,1,0,0,0,680000000.0
294,150,3,2,0,0,0,0,0,1,2500000000.0
105,100,4,3,0,0,1,0,0,0,2600000000.0
332,200,5,5,0,0,1,0,0,0,2000000000.0
228,185,3,3,0,0,0,0,0,1,2800000000.0
90,30,2,1,0,0,1,0,0,0,550000000.0
180,90,3,2,0,0,0,0,0,1,1750000000.0
150,100,2,2,0,0,1,0,0,0,590000000.0
160,104,3,2,0,0,1,0,0,0,2000000000.0
204,140,3,2,0,0,1,0,0,0,2000000000.0
270,80,4,2,0,0,0,0,0,1,875000000.0
90,60,2,1,0,0,1,0,0,0,675000000.0
90,90,3,1,0,0,1,0,0,0,380000000.0
196,87,2,1,0,0,0,0,0,1,550000000.0
109,80,2,2,0,0,1,0,0,0,590000000.0
165,300,4,4,0,0,1,0,0,0,2600000000.0
319,150,3,2,0,0,0,1,0,0,1000000000.0
150,180,4,4,0,0,1,0,0,0,1200000000.0
209,339,6,3,0,0,0,1,0,0,1300000000.0
120,144,4,2,0,0,1,0,0,0,1200000000.0
96,42,2,1,0,0,1,0,0,0,450000000.0
90,70,3,2,0,0,0,0,1,0,880000000.0
150,200,3,3,0,0,1,0,0,0,1500000000.0
160,160,3,3,0,0,1,0,0,0,1500000000.0
105,96,4,2,0,1,0,0,0,0,1500000000.0
90,120,3,3,0,0,0,0,0,1,1600000000.0
96,104,3,2,0,0,0,0,0,1,1400000000.0
100,60,3,2,0,0,0,0,0,1,1100000000.0
200,220,4,3,0,0,0,0,0,1,2100000000.0
150,80,3,2,0,0,1,0,0,0,700000000.0
224,72,7,5,0,0,0,0,0,1,1600000000.0
84,45,2,1,0,0,1,0,0,0,500000000.0
120,70,2,1,0,1,0,0,0,0,730000000.0
180,230,5,5,0,0,0,0,1,0,1900000000.0
198,198,3,2,0,0,1,0,0,0,850000000.0
150,200,3,3,0,0,1,0,0,0,2500000000.0
287,125,4,4,0,1,0,0,0,0,1900000000.0
119,89,2,1,0,0,0,0,1,0,760000000.0
150,110,2,2,0,0,0,0,0,1,900000000.0
175,75,3,2,0,0,1,0,0,0,730000000.0
200,61,2,1,1,0,0,0,0,0,570000000.0
145,120,3,2,0,0,1,0,0,0,800000000.0
150,120,4,4,0,1,0,0,0,0,1200000000.0
102,100,2,1,0,0,1,0,0,0,980000000.0
150,145,3,2,0,0,0,0,0,1,1550000000.0
72,90,3,4,0,0,1,0,0,0,850000000.0
180,90,3,2,0,0,1,0,0,0,3500000000.0
180,90,2,2,0,0,1,0,0,0,2500000000.0
102,70,3,2,0,0,1,0,0,0,2000000000.0
105,70,3,2,0,0,0,0,0,1,600000000.0
180,180,4,3,0,0,1,0,0,0,2100000000.0
220,250,4,3,0,0,1,0,0,0,3800000000.0
165,80,3,2,0,0,1,0,0,0,1300000000.0
117,150,4,3,0,0,0,0,0,1,2000000000.0
252,117,3,4,0,0,0,0,0,1,3500000000.0
216,150,3,2,0,0,1,0,0,0,2000000000.0
